Time,Angle
36.05,0.07
36.06,0.06
36.07,-0.04
36.08,0.03
36.09,0.10
36.10,0.05
36.11,-0.02
36.12,-0.00
36.13,0.08
36.14,0.11
36.15,-0.03
36.16,-0.10
36.17,0.07
36.18,0.13
36.19,0.07
36.20,-0.10
36.21,0.02
36.22,0.13
36.23,0.07
36.24,-0.03
36.25,-0.03
36.26,0.07
36.27,0.08
36.28,-0.02
36.29,-0.05
36.30,0.06
36.31,0.07
36.32,0.03
36.33,-0.02
36.34,0.01
36.35,0.02
36.36,0.06
36.37,0.14
36.38,-0.07
36.39,-0.04
36.40,0.09
36.41,0.11
36.42,0.03
36.43,0.01
36.44,0.04
36.45,0.10
36.46,0.09
36.47,0.04
36.48,0.02
36.49,0.10
36.50,0.11
36.51,0.06
36.52,0.07
36.53,0.10
36.54,0.12
36.55,0.09
36.56,0.07
36.57,0.10
36.58,0.14
36.59,0.13
36.60,0.09
36.61,0.09
36.62,0.10
36.63,0.15
36.64,0.13
36.65,0.08
36.66,0.13
36.67,0.14
36.68,0.09
36.69,0.10
36.70,0.13
36.71,0.13
36.72,0.10
36.73,0.10
36.74,0.13
36.75,0.11
36.76,0.09
36.77,0.07
36.78,0.13
36.79,0.11
36.80,0.08
36.81,0.06
36.82,0.12
36.83,0.10
36.84,0.06
36.85,0.04
36.86,0.10
36.87,0.10
36.88,0.08
36.89,0.07
36.90,0.06
36.91,0.07
36.92,0.07
36.93,0.08
36.94,0.09
36.95,0.10
36.96,0.07
36.97,0.05
36.98,0.08
36.99,0.11
37.00,0.08
37.01,0.10
37.02,0.11
37.03,0.08
37.04,0.06
37.05,0.07
37.06,0.10
37.07,0.13
37.08,0.12
37.09,0.06
37.10,0.09
37.11,0.11
37.12,0.09
37.13,0.06
37.14,0.10
37.15,0.15
37.16,0.09
37.17,0.05
37.18,0.10
37.19,0.11
37.20,0.09
37.21,0.06
37.22,0.10
37.23,0.11
37.24,0.09
37.25,0.05
37.26,0.10
37.27,0.12
37.28,0.06
37.29,0.04
37.30,0.08
37.31,0.12
37.32,0.10
37.33,0.06
37.34,0.06
37.35,0.09
37.36,0.12
37.37,0.09
37.38,0.04
37.39,0.07
37.40,0.10
37.41,0.09
37.42,0.07
37.43,0.08
37.44,0.09
37.45,0.09
37.46,0.07
37.47,0.08
37.48,0.09
37.49,0.09
37.50,0.08
37.51,0.09
37.52,0.09
37.53,0.08
37.54,0.07
37.55,0.09
37.56,0.08
37.57,0.08
37.58,0.06
37.59,0.08
37.60,0.07
